,material_id,space_group,K_VRH,kpoint_density,minimum Number,maximum Number,range Number,mean Number,avg_dev Number,mode Number,minimum MendeleevNumber,maximum MendeleevNumber,range MendeleevNumber,mean MendeleevNumber,avg_dev MendeleevNumber,mode MendeleevNumber,minimum AtomicWeight,maximum AtomicWeight,range AtomicWeight,mean AtomicWeight,avg_dev AtomicWeight,mode AtomicWeight,minimum MeltingT,maximum MeltingT,range MeltingT,mean MeltingT,avg_dev MeltingT,mode MeltingT,minimum Column,maximum Column,range Column,mean Column,avg_dev Column,mode Column,minimum Row,maximum Row,range Row,mean Row,avg_dev Row,mode Row,minimum CovalentRadius,maximum CovalentRadius,range CovalentRadius,mean CovalentRadius,avg_dev CovalentRadius,mode CovalentRadius,minimum Electronegativity,maximum Electronegativity,range Electronegativity,mean Electronegativity,avg_dev Electronegativity,mode Electronegativity,minimum NsValence,maximum NsValence,range NsValence,mean NsValence,avg_dev NsValence,mode NsValence,minimum NpValence,maximum NpValence,range NpValence,mean NpValence,avg_dev NpValence,mode NpValence,minimum NdValence,maximum NdValence,range NdValence,mean NdValence,avg_dev NdValence,mode NdValence,minimum NfValence,maximum NfValence,range NfValence,mean NfValence,avg_dev NfValence,mode NfValence,minimum NValence,maximum NValence,range NValence,mean NValence,avg_dev NValence,mode NValence,minimum NsUnfilled,maximum NsUnfilled,range NsUnfilled,mean NsUnfilled,avg_dev NsUnfilled,mode NsUnfilled,minimum NpUnfilled,maximum NpUnfilled,range NpUnfilled,mean NpUnfilled,avg_dev NpUnfilled,mode NpUnfilled,minimum NdUnfilled,maximum NdUnfilled,range NdUnfilled,mean NdUnfilled,avg_dev NdUnfilled,mode NdUnfilled,minimum NfUnfilled,maximum NfUnfilled,range NfUnfilled,mean NfUnfilled,avg_dev NfUnfilled,mode NfUnfilled,minimum NUnfilled,maximum NUnfilled,range NUnfilled,mean NUnfilled,avg_dev NUnfilled,mode NUnfilled,minimum GSvolume_pa,maximum GSvolume_pa,range GSvolume_pa,mean GSvolume_pa,avg_dev GSvolume_pa,mode GSvolume_pa,minimum GSbandgap,maximum GSbandgap,range GSbandgap,mean GSbandgap,avg_dev GSbandgap,mode GSbandgap,minimum GSmagmom,maximum GSmagmom,range GSmagmom,mean GSmagmom,avg_dev GSmagmom,mode GSmagmom,minimum SpaceGroupNumber,maximum SpaceGroupNumber,range SpaceGroupNumber,mean SpaceGroupNumber,avg_dev SpaceGroupNumber,mode SpaceGroupNumber,minimum oxidation state,maximum oxidation state,range oxidation state,std_dev oxidation state,density,vpa,packing fraction
10,mp-10172,194,8.7355812,7000,11,11,0,11,0,11,2,2,0,2,0,2,22.98976928,22.98976928,0,22.98976928,0,22.98976928,370.87,370.87,0,370.87,0,370.87,1,1,0,1,0,1,3,3,0,3,0,3,166,166,0,166,0,166,0.93,0.93,0,0.93,0,0.93,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,29.24333333,29.24333333,0,29.24333333,0,29.24333333,0,0,0,0,0,0,0,0,0,0,0,0,229,229,0,229,0,229,0,0,0,0,1.032903285,36.95932616,0.660970505
11,mp-10173,194,13.83229473,7000,3,3,0,3,0,3,1,1,0,1,0,1,6.941,6.941,0,6.941,0,6.941,453.69,453.69,0,453.69,0,453.69,1,1,0,1,0,1,2,2,0,2,0,2,128,128,0,128,0,128,0.98,0.98,0,0.98,0,0.98,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,16.59333333,16.59333333,0,16.59333333,0,16.59333333,0,0,0,0,0,0,0,0,0,0,0,0,229,229,0,229,0,229,0,0,0,0,0.568848152,20.2616488,0.630257225
12,mp-10180,216,65.62667719,20000,3,51,48,25.75,22.75,3,1,85,84,37.25,36.25,1,6.941,121.76,114.819,60.5155,53.5745,6.941,453.69,1828.05,1374.36,909.8025,459.12375,453.69,1,15,14,6.75,5.75,1,2,5,3,3.5,1.5,2,128,139,11,133.5,5.5,128,0.98,2.2,1.22,1.5525,0.5725,0.98,0,2,2,1,0.5,1,0,3,3,0.75,1.125,0,0,10,10,5,5,0,0,0,0,0,0,0,1,15,14,6.75,5.75,1,0,1,1,0.5,0.5,1,0,3,3,0.75,1.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1.25,0.875,1,14.41,31.56,17.15,19.78916667,5.885416667,16.59333333,0,0,0,0,0,0,0,0,0,0,0,0,166,229,63,212.25,23.125,229,0,0,0,0,6.158567544,16.31683822,0.763079698
13,mp-10183,216,80.65907898,7000,12,51,39,36.33333333,16.22222222,12,62,85,23,71.66666667,8.888888889,62,24.305,121.76,97.455,84.16166667,39.90444444,24.305,903.78,1828.05,924.27,1218.276667,406.5155556,903.78,2,15,13,9,4.666666667,2,3,5,2,4.333333333,0.888888889,3,139,141,2,139.6666667,0.888888889,139,1.31,2.2,0.89,1.853333333,0.362222222,1.31,0,2,2,1.333333333,0.888888889,0,0,3,3,1,1.333333333,0,0,10,10,6.666666667,4.444444444,0,0,0,0,0,0,0,2,15,13,9,4.666666667,2,0,0,0,0,0,0,0,3,3,1,1.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1.333333333,0,14.41,31.56,17.15,22.95333333,5.737777778,14.41,0,0,0,0,0,0,0,0,0,0,0,0,166,225,59,195,20,166,0,0,0,0,6.533182802,21.39137039,0.598391736
14,mp-10184,216,88.69314272,7000,12,78,66,47,23.33333333,12,63,85,22,72,8.666666667,63,24.305,195.084,170.779,113.7163333,59.60755556,24.305,903.78,2041.4,1137.62,1289.393333,501.3377778,903.78,2,15,13,9,4.666666667,2,3,6,3,4.666666667,1.111111111,3,136,141,5,138.6666667,1.777777778,136,1.31,2.28,0.97,1.88,0.38,1.31,1,2,1,1.666666667,0.444444444,1,0,3,3,1,1.333333333,0,0,10,10,6.333333333,4.222222222,0,0,14,14,4.666666667,6.222222222,0,2,24,22,13.66666667,7.777777778,2,0,1,1,0.333333333,0.444444444,0,0,3,3,1,1.333333333,0,0,1,1,0.333333333,0.444444444,0,0,0,0,0,0,0,0,3,3,1.666666667,1.111111111,0,15.02,31.56,16.54,23.15666667,5.602222222,15.02,0,0,0,0,0,0,0,0,0,0,0,0,166,225,59,195,20,166,0,0,0,0,8.823886385,21.39991414,0.579647375
15,mp-102,225,211.5750637,7000,27,27,0,27,0,27,58,58,0,58,0,58,58.933195,58.933195,0,58.933195,0,58.933195,1768,1768,0,1768,0,1768,9,9,0,9,0,9,4,4,0,4,0,4,126,126,0,126,0,126,1.88,1.88,0,1.88,0,1.88,2,2,0,2,0,2,0,0,0,0,0,0,7,7,0,7,0,7,0,0,0,0,0,0,9,9,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,3,0,0,0,0,0,0,3,3,0,3,0,3,10.245,10.245,0,10.245,0,10.245,0,0,0,0,0,0,1.5484712,1.5484712,0,1.5484712,0,1.5484712,194,194,0,194,0,194,0,0,0,0,8.960481507,10.9213853,0.943652697
16,mp-1020,221,260.2894753,7000,45,73,28,52,10.5,45,48,59,11,56.25,4.125,59,102.9055,180.94788,78.04238,122.416095,29.2658925,102.9055,2237,3290,1053,2500.25,394.875,2237,5,9,4,8,1.5,9,5,6,1,5.25,0.375,5,142,170,28,149,10.5,142,1.5,2.28,0.78,2.085,0.2925,2.28,1,2,1,1.25,0.375,1,0,0,0,0,0,0,3,8,5,6.75,1.875,8,0,14,14,3.5,5.25,0,9,19,10,11.5,3.75,9,0,1,1,0.75,0.375,1,0,0,0,0,0,0,2,7,5,3.25,1.875,2,0,0,0,0,0,0,3,7,4,4,1.5,3,13.64,18.12,4.48,14.76,1.68,13.64,0,0,0,0,0,0,0,0,0,0,0,0,225,229,4,226,1.5,225,0,0,0,0,13.65752194,14.88386442,0.733815382
17,mp-10245,71,153.4814038,7000,14,72,58,35.27272727,20.03305785,14,45,78,33,63.90909091,10.31404959,64,28.0855,178.49,150.4045,81.99963636,52.63110744,28.0855,1357.77,2506,1148.23,1790.643636,390.1943802,1357.77,4,14,10,10.18181818,3.371900826,11,3,6,3,4.181818182,0.991735537,3,111,175,64,136.0909091,21.2231405,111,1.3,1.9,0.6,1.736363636,0.238016529,1.9,1,2,1,1.636363636,0.462809917,1,0,2,2,0.727272727,0.925619835,0,0,10,10,4.181818182,4.231404959,0,0,14,14,3.818181818,5.553719008,0,4,18,14,10.36363636,4.628099174,4,0,1,1,0.363636364,0.462809917,0,0,4,4,1.454545455,1.851239669,0,0,8,8,2.181818182,3.173553719,0,0,0,0,0,0,0,1,8,7,4,2.181818182,1,11.07,22.2,11.13,17.51272727,4.685619835,11.07,0,0.773,0.773,0.281090909,0.357752066,0,0,0,0,0,0,0,194,227,33,217.2727273,12.69421488,225,-4,4,8,3.99374511,9.175343453,14.84016355,0.675811538
18,mp-10266,221,213.0769842,7000,6,30,24,22.8,6.72,26,55,77,22,62.2,8.64,55,12.0107,65.38,53.3693,48.98514,14.789776,55.845,692.68,3823,3130.32,1989.736,733.3056,1811,8,14,6,10,2.4,8,2,4,2,3.6,0.64,4,76,132,56,118.8,17.12,132,1.65,2.55,0.9,1.938,0.2448,1.83,2,2,0,2,0,2,0,2,2,0.4,0.64,0,0,10,10,5.6,2.24,6,0,0,0,0,0,0,4,12,8,8,1.6,8,0,0,0,0,0,0,0,4,4,0.8,1.28,0,0,4,4,2.4,1.92,4,0,0,0,0,0,0,0,4,4,3.2,1.28,4,5.64,13.96,8.32,10.358,1.8872,10.73,0,4.496,4.496,0.8992,1.43872,0,0,2.1106628,2.1106628,1.26639768,1.013118144,2.1106628,194,229,35,215,16.8,229,0,0,0,0,7.56932094,10.74751211,0.860196671
19,mp-1027,221,219.0499119,7000,45,72,27,51.75,10.125,45,45,59,14,55.5,5.25,59,102.9055,178.49,75.5845,121.801625,28.3441875,102.9055,2237,2506,269,2304.25,100.875,2237,4,9,5,7.75,1.875,9,5,6,1,5.25,0.375,5,142,175,33,150.25,12.375,142,1.3,2.28,0.98,2.035,0.3675,2.28,1,2,1,1.25,0.375,1,0,0,0,0,0,0,2,8,6,6.5,2.25,8,0,14,14,3.5,5.25,0,9,18,9,11.25,3.375,9,0,1,1,0.75,0.375,1,0,0,0,0,0,0,2,8,6,3.5,2.25,2,0,0,0,0,0,0,3,8,5,4.25,1.875,3,13.64,22.2,8.56,15.78,3.21,13.64,0,0,0,0,0,0,0,0,0,0,0,0,194,225,31,217.25,11.625,225,0,0,0,0,13.10014155,15.43924946,0.753218531
20,mp-10270,221,214.4788064,7000,6,27,21,21.6,6.48,27,11,77,66,52.4,16.56,58,12.0107,58.933195,46.922495,46.7532394,14.61594672,58.933195,1768,3823,2055,2188.2,653.92,1768,3,14,11,8.8,2.32,9,2,4,2,3.6,0.64,4,76,170,94,124.8,19.52,126,1.36,2.55,1.19,1.91,0.256,1.88,2,2,0,2,0,2,0,2,2,0.4,0.64,0,0,7,7,4.4,3.12,7,0,0,0,0,0,0,3,9,6,6.8,2.64,9,0,0,0,0,0,0,0,4,4,0.8,1.28,0,0,9,9,3.6,2.16,3,0,0,0,0,0,0,3,9,6,4.4,1.84,3,5.64,22.235,16.595,11.722,4.2052,10.245,0,4.496,4.496,0.8992,1.43872,0,0,1.5484712,1.5484712,0.92908399,0.743264652,1.5484712,194,194,0,194,0,194,0,0,0,0,7.011446704,11.07269049,0.894308819
21,mp-10271,221,216.753843,7000,6,30,24,23.4,6.96,27,58,77,19,64,7.2,58,12.0107,65.38,53.3693,50.838057,15.5309428,58.933195,692.68,3823,3130.32,1963.936,743.6256,1768,9,14,5,10.6,1.92,9,2,4,2,3.6,0.64,4,76,126,50,115.2,15.68,126,1.65,2.55,0.9,1.968,0.2328,1.88,2,2,0,2,0,2,0,2,2,0.4,0.64,0,0,10,10,6.2,2.48,7,0,0,0,0,0,0,4,12,8,8.6,1.84,9,0,0,0,0,0,0,0,4,4,0.8,1.28,0,0,3,3,1.8,1.44,3,0,0,0,0,0,0,0,4,4,2.6,1.04,3,5.64,13.96,8.32,10.067,1.7708,10.245,0,4.496,4.496,0.8992,1.43872,0,0,1.5484712,1.5484712,0.92908272,0.743266176,1.5484712,194,194,0,194,0,194,0,0,0,0,8.087787257,10.43897506,0.817335679
22,mp-1029,225,54.42955217,7000,9,56,47,24.66666667,20.88888889,9,9,93,84,65,37.33333333,93,18.9984032,137.327,118.3285968,58.4412688,52.59048747,18.9984032,53.5,1000,946.5,369,420.6666667,53.5,2,17,15,12,6.666666667,17,2,6,4,3.333333333,1.777777778,2,57,215,158,109.6666667,70.22222222,57,0.89,3.98,3.09,2.95,1.373333333,3.98,2,2,0,2,0,2,0,5,5,3.333333333,2.222222222,5,0,0,0,0,0,0,0,0,0,0,0,0,2,7,5,5.333333333,2.222222222,7,0,0,0,0,0,0,0,1,1,0.666666667,0.444444444,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.666666667,0.444444444,1,9.7075,63.59,53.8825,27.66833333,23.94777778,9.7075,0,1.97,1.97,1.313333333,0.875555556,1.97,0,0,0,0,0,0,15,229,214,86.33333333,95.11111111,15,-1,2,3,2.121320344,4.703191064,20.63365215,0.689439515
23,mp-103,194,107.9724986,7000,72,72,0,72,0,72,45,45,0,45,0,45,178.49,178.49,0,178.49,0,178.49,2506,2506,0,2506,0,2506,4,4,0,4,0,4,6,6,0,6,0,6,175,175,0,175,0,175,1.3,1.3,0,1.3,0,1.3,2,2,0,2,0,2,0,0,0,0,0,0,2,2,0,2,0,2,14,14,0,14,0,14,18,18,0,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,8,0,8,0,0,0,0,0,0,8,8,0,8,0,8,22.2,22.2,0,22.2,0,22.2,0,0,0,0,0,0,0,0,0,0,0,0,194,194,0,194,0,194,0,0,0,0,13.17041309,22.50420023,0.693138657
24,mp-1030,225,210.3121186,20000,51,78,27,74.625,5.90625,78,63,85,22,65.75,4.8125,63,121.76,195.084,73.324,185.9185,16.039625,195.084,903.78,2041.4,1137.62,1899.1975,248.854375,2041.4,10,15,5,10.625,1.09375,10,5,6,1,5.875,0.21875,6,136,139,3,136.375,0.65625,136,2.05,2.28,0.23,2.25125,0.0503125,2.28,1,2,1,1.125,0.21875,1,0,3,3,0.375,0.65625,0,9,10,1,9.125,0.21875,9,0,14,14,12.25,3.0625,14,15,24,9,22.875,1.96875,24,0,1,1,0.875,0.21875,1,0,3,3,0.375,0.65625,0,0,1,1,0.875,0.21875,1,0,0,0,0,0,0,2,3,1,2.125,0.21875,2,15.02,31.56,16.54,17.0875,3.618125,15.02,0,0,0,0,0,0,0,0,0,0,0,0,166,225,59,217.625,12.90625,225,-2,5,7,3.590109871,18.87271567,16.3582673,0.648846329
25,mp-1038,227,94.14782592,7000,12,29,17,23.33333333,7.555555556,29,64,68,4,65.33333333,1.777777778,64,24.305,63.546,39.241,50.46566667,17.44044444,63.546,923,1357.77,434.77,1212.846667,193.2311111,1357.77,2,11,9,8,4,11,3,4,1,3.666666667,0.444444444,4,132,141,9,135,4,132,1.31,1.9,0.59,1.703333333,0.262222222,1.9,1,2,1,1.333333333,0.444444444,1,0,0,0,0,0,0,0,10,10,6.666666667,4.444444444,10,0,0,0,0,0,0,2,11,9,8,4,11,0,1,1,0.666666667,0.444444444,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.666666667,0.444444444,1,11.07,22.89,11.82,15.01,5.253333333,11.07,0,0,0,0,0,0,0,0,0,0,0,0,194,225,31,214.6666667,13.77777778,225,0,0,0,0,5.741703088,14.59500925,0.793631022
26,mp-10390,15,126.318,1000,8,73,65,26.57142857,26.53061224,8,48,87,39,75.85714286,15.91836735,87,15.9994,180.94788,164.94848,63.12753714,67.3259102,15.9994,54.8,3290,3235.2,979.1428571,1320.489796,54.8,5,16,11,12.85714286,4.489795918,16,2,6,4,3.142857143,1.632653061,2,66,170,104,95.71428571,42.44897959,66,1.5,3.44,1.94,2.885714286,0.791836735,3.44,2,2,0,2,0,2,0,4,4,2.857142857,1.632653061,4,0,3,3,0.857142857,1.224489796,0,0,14,14,4,5.714285714,0,6,19,13,9.714285714,5.306122449,6,0,0,0,0,0,0,0,2,2,1.428571429,0.816326531,2,0,7,7,2,2.857142857,0,0,0,0,0,0,0,2,7,5,3.428571429,2.040816327,2,9.105,18.12,9.015,11.68071429,3.679591837,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,74,88.57142857,12,-2,5,7,4.949747468,8.445574167,12.41191396,0.34602692
